date,item,category,region,sales,quantity,price_per_unit
2024-01-01,Product_A,Electronics,North,104.97,5,96.69
2024-01-02,Product_A,Electronics,North,99.24,9,97.29
2024-01-03,Product_A,Electronics,North,107.71,9,90.2
2024-01-04,Product_A,Electronics,North,117.08,3,99.37
2024-01-05,Product_A,Electronics,North,100.13,7,59.85
2024-01-06,Product_A,Electronics,North,100.75,2,57.08
2024-01-07,Product_A,Electronics,North,119.5,3,72.62
2024-01-08,Product_A,Electronics,North,112.0,3,66.48
2024-01-09,Product_A,Electronics,North,100.24,3,91.1
2024-01-10,Product_A,Electronics,North,110.98,9,35.29
2024-01-11,Product_A,Electronics,North,101.53,2,90.12
2024-01-12,Product_A,Electronics,North,102.12,3,65.81
2024-01-13,Product_A,Electronics,North,109.81,5,26.93
2024-01-14,Product_A,Electronics,North,88.87,3,41.8
2024-01-15,Product_A,Electronics,North,91.36,2,17.0
2024-01-16,Product_A,Electronics,North,103.59,2,98.76
2024-01-17,Product_A,Electronics,North,99.69,2,58.25
2024-01-18,Product_A,Electronics,North,113.57,5,83.24
2024-01-19,Product_A,Electronics,North,101.95,2,24.64
2024-01-20,Product_A,Electronics,North,97.51,2,84.03
2024-01-21,Product_A,Electronics,North,126.89,2,75.31
2024-01-22,Product_A,Electronics,North,110.57,3,47.64
2024-01-23,Product_A,Electronics,North,114.1,2,87.95
2024-01-24,Product_A,Electronics,North,99.77,8,12.37
2024-01-25,Product_A,Electronics,North,109.16,4,82.95
2024-01-26,Product_A,Electronics,North,116.3,2,23.54
2024-01-27,Product_A,Electronics,North,104.27,3,44.28
2024-01-28,Product_A,Electronics,North,120.12,2,85.79
2024-01-29,Product_A,Electronics,North,110.94,2,52.18
2024-01-30,Product_A,Electronics,North,114.6,4,34.61
2024-01-31,Product_A,Electronics,North,112.08,9,87.83
2024-02-01,Product_A,Electronics,North,137.19,3,99.97
2024-02-02,Product_A,Electronics,North,119.1,2,59.99
2024-02-03,Product_A,Electronics,North,109.22,2,95.03
2024-02-04,Product_A,Electronics,North,128.59,2,32.26
2024-02-05,Product_A,Electronics,North,108.71,3,21.62
2024-02-06,Product_A,Electronics,North,123.57,2,64.56
2024-02-07,Product_A,Electronics,North,102.43,5,70.45
2024-02-08,Product_A,Electronics,North,109.3,3,42.23
2024-02-09,Product_A,Electronics,North,125.09,8,70.44
2024-02-10,Product_A,Electronics,North,131.05,4,79.51
2024-02-11,Product_A,Electronics,North,125.92,4,86.7
2024-02-12,Product_A,Electronics,North,123.58,3,60.48
2024-02-13,Product_A,Electronics,North,122.26,2,46.31
2024-02-14,Product_A,Electronics,North,111.01,7,12.59
2024-02-15,Product_A,Electronics,North,119.12,2,65.83
2024-02-16,Product_A,Electronics,North,122.23,3,29.17
2024-02-17,Product_A,Electronics,North,137.92,8,11.31
2024-02-18,Product_A,Electronics,North,131.3,5,63.09
2024-02-19,Product_A,Electronics,North,110.73,4,49.37
2024-02-20,Product_A,Electronics,North,132.11,2,41.34
2024-02-21,Product_A,Electronics,North,125.51,4,80.53
2024-02-22,Product_A,Electronics,North,123.08,4,65.99
2024-02-23,Product_A,Electronics,North,136.46,3,95.46
2024-02-24,Product_A,Electronics,North,141.13,8,93.39
2024-02-25,Product_A,Electronics,North,140.61,4,33.24
2024-02-26,Product_A,Electronics,North,123.38,4,98.2
2024-02-27,Product_A,Electronics,North,129.15,4,39.59
2024-02-28,Product_A,Electronics,North,136.02,3,31.61
2024-02-29,Product_A,Electronics,North,142.92,10,21.6
2024-03-01,Product_A,Electronics,North,128.82,8,23.67
2024-03-02,Product_A,Electronics,North,132.2,8,67.68
2024-03-03,Product_A,Electronics,North,123.44,7,41.11
2024-03-04,Product_A,Electronics,North,122.98,2,52.66
2024-03-05,Product_A,Electronics,North,143.5,3,25.51
2024-03-06,Product_A,Electronics,North,149.36,8,13.68
2024-03-07,Product_A,Electronics,North,135.5,8,35.07
2024-03-08,Product_A,Electronics,North,146.67,8,17.98
2024-03-09,Product_A,Electronics,North,140.67,9,51.47
2024-03-10,Product_A,Electronics,North,131.0,7,42.78
2024-03-11,Product_A,Electronics,North,141.47,4,72.14
2024-03-12,Product_A,Electronics,North,153.63,13,81.95
2024-03-13,Product_A,Electronics,North,138.28,3,17.36
2024-03-14,Product_A,Electronics,North,154.67,3,92.88
2024-03-15,Product_A,Electronics,North,113.2,9,34.92
2024-03-16,Product_A,Electronics,North,147.99,3,77.34
2024-03-17,Product_A,Electronics,North,141.01,8,28.84
2024-03-18,Product_A,Electronics,North,137.51,5,53.61
2024-03-19,Product_A,Electronics,North,141.77,4,43.2
2024-03-20,Product_A,Electronics,North,121.33,4,77.27
2024-03-21,Product_A,Electronics,North,139.35,12,32.72
2024-03-22,Product_A,Electronics,North,145.45,3,90.57
2024-03-23,Product_A,Electronics,North,156.99,5,57.89
2024-03-24,Product_A,Electronics,North,137.36,9,50.27
2024-03-25,Product_A,Electronics,North,134.77,4,31.82
2024-03-26,Product_A,Electronics,North,138.15,6,43.96
2024-03-27,Product_A,Electronics,North,152.63,14,38.99
2024-03-28,Product_A,Electronics,North,147.07,7,39.47
2024-03-29,Product_A,Electronics,North,138.78,9,90.15
2024-03-30,Product_A,Electronics,North,149.5,4,71.12
2024-03-31,Product_A,Electronics,North,145.62,3,54.86
2024-04-01,Product_A,Electronics,North,154.62,11,58.34
2024-04-02,Product_A,Electronics,North,138.18,4,77.09
2024-04-03,Product_A,Electronics,North,142.19,5,21.48
2024-04-04,Product_A,Electronics,North,141.81,6,42.68
2024-04-05,Product_A,Electronics,North,131.35,3,61.37
2024-04-06,Product_A,Electronics,North,149.2,6,98.79
